PREGUNTA,RESPUESTA
¿Como me hago la prueba de la Hepatitis?,Se utiliza un análisis de sangre para detectar todos los tipos de hepatitis. Se recomienda que llame con anticipación para confirmar que el sitio de prueba es capaz de completar un panel de sangre de la hepatitis.
¿Se puede Tratar la Hepatitis?,"La hepatitis A, B, D y E no se puede curar, pero se puede controlar con un tratamiento regular y supervisión médica. Recientemente, se han puesto a disposición medicamentos que pueden curar la hepatitis C y que están cubiertos por muchos planes de seguros médicos."
¿Que es el VPH?,"El VPH es la ETS más común. Es tan común que casi todas las personas sexualmente activas contraen el VPH en algún momento de sus vidas. Hay muchos tipos diferentes de VPH, algunos de los cuales pueden causar problemas de salud como verrugas genitales y cáncer. Para protegerse del VPH, hay vacunas disponibles. Todos los niños mayores de 11 años deben ser vacunados para protegerlos del riesgo de cáncer en el futuro."
¿Cuales son los sintomas del VPH?,"La mayoría de las personas con VPH no saben que están infectadas y nunca desarrollan síntomas o problemas de salud por ello. Algunas personas con ciertas cepas de VPH pueden desarrollar verrugas genitales. Una persona con vagina puede descubrir que tiene VPH cuando obtiene un resultado anormal en la prueba de Papanicolaou (durante la detección del cáncer de cuello uterino). Otros sólo lo descubrirán una vez que hayan desarrollado problemas más graves por el VPH, como los cánceres. "
¿Como me hago la prueba del VPH?,"Actualmente, la única prueba de VPH del mercado se utiliza para detectar el cáncer de cuello de útero, pero sólo debe utilizarse cuando se examina a alguien que tiene una vagina de 30 años o más. No hay ninguna prueba de VPH aprobada que se recomiende para una persona con pene o para encontrar el VPH en la boca o la garganta."
¿Se puede Tratar el VPH?,"No hay tratamiento para el virus en sí. Sin embargo, hay tratamientos para los problemas de salud que el VPH puede causar:
Las verrugas genitales pueden ser manejadas bajo supervisión médica. Si no se tratan, tienen el potencial de crecer en número y empeorar.
El pre-cáncer cervical puede ser tratado. Una persona con vagina que se haga pruebas de Papanicolaou de rutina y seguimiento según sea necesario puede identificar problemas antes de que se desarrolle el cáncer.
Otros cánceres relacionados con el VPH, como el cáncer anal, también son más tratables cuando se diagnostican a tiempo."
¿Que es el Herpes?,"El herpes es una infección viral común que afecta la boca o los genitales y es causada por el virus del herpes simple (HSV). Hay dos tipos de virus del herpes llamados herpes simplex tipo 1 (HSV-1) y herpes simplex tipo 2 (HSV-2). Mientras que el VHS-1 típicamente causa herpes oral, también se puede propagar a los genitales a través del sexo oral. El VHS-2 causa herpes genital."
¿Cuales son los sintomas del Herpes?,"No todo el mundo experimenta síntomas de herpes, pero cuando lo hacen, los síntomas pueden incluir:
Ampollas alrededor de los genitales, el recto o la boca
Llagas
Fiebre
Dolores de cuerpo
Glándulas inflamadas
Descarga
Sensación de ardor al orinar
Sangrado entre períodos"
¿Como me hago la prueba del Herpes?,Una persona puede ser diagnosticada con herpes a través de un examen visual realizado por un médico o un análisis de una muestra de líquido recogida de una llaga abierta.
¿Se puede Tratar el Herpes?,"No hay cura para el herpes. Sin embargo, se pueden utilizar medicamentos para prevenir y controlar los brotes de ampollas. Hay que tener especial cuidado en lavarse las manos con frecuencia y no tocar un brote, y potencialmente transferir la infección a otra zona del cuerpo (por ejemplo, de los genitales a los ojos). "
¿Que es la Tricomoniasis?,La tricomoniasis es una ETS común causada por la infección de un parásito protozoario. La tricomoniasis puede afectar a cualquier persona y se transmite de una persona a otra durante el sexo. Sólo puede infectarse teniendo sexo con alguien que esté infectado.
¿Cuales son los sintomas de la Tricomoniasis?,"La mayoría de las personas infectadas no tienen ningún síntoma. En el caso de las personas que sí presentan síntomas, pueden experimentar picor, ardor, irritación, enrojecimiento o molestias en la zona genital. Es común el dolor al orinar o durante la actividad sexual, así como las secreciones y los olores inusuales."
¿Como me hago la prueba de la Tricomoniasis?,"Su médico puede realizar un examen físico y observar los síntomas (sarpullido, secreción, llagas, golpes, etc.) que están presentes. Durante este examen físico, se pueden realizar hisopos de las llagas, la secreción y/o el tejido infectado para buscar la presencia de bacterias o virus. A veces el tratamiento se prescribe de inmediato. En otras ocasiones, su proveedor de atención médica puede necesitar enviar una muestra a un laboratorio para ser analizada. Es posible que los resultados no estén disponibles hasta dentro de varios días. Consulte con su proveedor de atención médica cuando se haga la prueba para ver cuál es el tiempo de espera de los resultados."
¿Se puede Tratar la Tricomoniasis?,"Sí, la tricomoniasis se puede curar con antibióticos. Sin embargo, las personas que han sido tratadas pueden volver a infectarse si se exponen"
¿Que son los piojos Pubicos?,"Los piojos púbicos son pequeños insectos que se adhieren a la piel y al vello en el área púbica. A los piojos púbicos también se les llama ""cangrejos""."
¿Cuales son los sintomas de los piojos Pubicos?,"No todo el mundo experimenta síntomas de piojos púbicos, pero cuando lo hacen, los síntomas pueden incluir:
Picazón
Fiebre leve
Enrojecimiento
Presencia de pequeños puntos con aspecto de caspa en el vello púbico"
¿Como me hago la prueba de los piojos Pubicos?,"Típicamente las personas son capaces de diagnosticarse a sí mismas, pero un proveedor de atención médica también puede ayudar."
¿Se puede Tratar los piojos Pubicos?,"Sí. Los piojos púbicos pueden tratarse fácilmente con medicamentos de venta libre como A-200, RID y Nix. Puede que se necesiten varias aplicaciones para que funcione plenamente. Tenga en cuenta que el afeitado y los baños calientes no funcionan. Los piojos púbicos tienen la capacidad de esconderse en el poro del folículo piloso y permanecer en la piel. Toda la ropa de cama, las toallas y la ropa deben ser lavadas a fondo y su casa aspirada"
¿Que es la Sarna?,La sarna es una infección de la piel por un ácaro humano que pica. El ácaro microscópico se esconde bajo la capa superior de la piel y se sabe que es problemático en las ciudades y en los lugares concurridos.
¿Cuales son los sintomas de la Sarna?,"No todo el mundo experimenta síntomas de la sarna, pero cuando lo hacen, los síntomas pueden incluir:
Picazón
Enrojecimiento
Erupción
Sequedad
Llagas en la piel
Los síntomas de la sarna aparecerán típicamente, pero no se limitan a, en/alrededor de: muñecas, codos, axilas, entre los dedos, pezones, genitales, cintura y nalgas."
¿Como me hago la prueba de la Sarna?,"Típicamente las personas se diagnostican a sí mismas, pero un proveedor de atención médica necesita confirmarlo para proporcionar una receta. Esto incluye una inspección visual del área infectada."
¿Se puede Tratar la Sarna?,"Sí. La sarna puede tratarse fácilmente con medicamentos tópicos de venta con receta. Puede que se necesiten varias aplicaciones para que funcione plenamente. Tenga en cuenta que el afeitado y los baños calientes no funcionan. Toda la ropa de cama, las toallas y la ropa deben ser lavadas a fondo y su casa aspirada"
¿Que es la Giardia?,"La Giardia es un parásito microscópico. La Giardia causa una diarrea severa conocida como giardiasis. La Giardia se encuentra en o sobre la suciedad, la comida o el agua que tiene heces (excremento) de animales o humanos. También puede transmitirse a través del sexo oral cuando se realiza sexo oral en el ano/trasero de alguien (analingus)."
¿Cuales son los sintomas de la Giardia?,"No todo el mundo experimenta síntomas de giardia, pero cuando lo hacen, los síntomas pueden incluir:
Diarrea
Gases
Heces grasosas (excrementos) que normalmente flotan
Calambres y dolor de estómago
Malestar estomacal y/o náuseas/vómitos
Deshidratación (pérdida de líquidos)"
¿Como me hago la prueba de la Giardia?,Un proveedor de atención médica necesitará recoger una o más muestras de heces (excremento) y realizar pruebas.
¿Se puede Tratar la Giardia?,Sí. La giardia se puede curar con antibióticos.
¿Qué es el VIH?,"VIH significa virus de inmunodeficiencia humana. El VIH es un retrovirus que infecta las células del sistema inmunitario humano (principalmente las células T CD4 positivas y los macrófagos, ambos componentes clave del sistema inmunitario celular), de manera que destruye o daña su función. La infección por este virus lleva a la progresiva reducción del sistema inmunitario, lo que se traduce en la inmunodeficiencia.

El sistema inmunitario se considera deficiente cuando pierde su capacidad de luchar contra las infecciones y las enfermedades. Las personas con inmunodeficiencia son mucho más vulnerables a un amplio número de infecciones y cánceres, la mayoría de los cuales son raros entre personas sin inmunodeficiencia. Las enfermedades asociadas a una inmunodeficiencia grave se consideran infecciones oportunistas, puesto que se aprovechan de un sistema inmunitario debilitado"
¿Qué es el sida?,Sida significa síndrome de inmunodeficiencia adquirida y define la serie de síntomas e infecciones que van asociados a la deficiencia adquirida del sistema inmunitario. La infección por el VIH se considera la causa subyacente al sida. El nivel de inmunodeficiencia y la aparición de determinadas infecciones se utilizan como indicadores para saber si la infección por el VIH ha evolucionado y causado el sida
¿Cuáles son los síntomas del VIH?,"La mayoría de las personas infectadas por el VIH no saben que han contraído el virus. Inmediatamente después de la infección algunas personas presentan algo similar a una mononucleosis infecciosa (acompañada de fiebre, sarpullido, dolor articular y ganglios linfáticos inflamados), que ocurre en el momento de la seroconversión. La seroconversión hace referencia al desarrollo de anticuerpos contra el VIH y habitualmente se produce entre uno y dos meses después de haber contraído la infección. La infección por el VIH causa el agotamiento y el debilitamiento progresivos del sistema inmunitario. Ello lleva a una mayor susceptibilidad del cuerpo a infecciones y cánceres y puede conducir al desarrollo del sida "
¿Cuándo tiene sida una persona?,"El término sida se refiere a las etapas más avanzadas de la infección por el VIH.

La mayoría de las personas infectadas por el VIH, si no se tratan, empiezan a mostrar síntomas de sida a los ocho o diez años.

El sida se identifica con la base de ciertas infecciones. La enfermedad del VIH en su fase 1 es asintomática y no se considera sida. La fase II (incluye leves candidiasis e infecciones frecuentes del tracto respiratorio superior), la fase III (incluye diarrea crónica sin explicación que persiste más de un mes, varias infecciones bacterianas y tuberculosis pulmonar) y la fase IV de la enfermedad del VIH (incluye toxoplasmosis cerebral, candidiasis de esófago, tráquea o pulmones y sarcoma de Kaposi) se emplean como indicadores del sida. La mayor parte de estas afecciones son infecciones oportunistas fácilmente tratables en personas sanas."
¿Con qué rapidez desarrollan el sida las personas infectadas por el VIH?,"El tiempo puede variar ampliamente en función de la persona. Entre el contagio del VIH y el desarrollo de los primeros síntomas de sida puede haber entre 10 y 15 años, a veces más, y a veces menos. La terapia antirretroviral puede evitar el desarrollo del sida al reducir la carga viral en un cuerpo infectado"
¿Cómo se puede transmitir el VIH?,"El VIH se puede transmitir a través de la penetración anal o vaginal, mediante transfusiones de sangre, al compartir agujas contaminadas en centros de atención sanitaria, por inyecciones de drogas y entre madre e hijo durante el embarazo, el nacimiento y la lactancia."
¿Dónde se encuentra el VIH?,"El VIH se puede encontrar en fluidos corporales como la sangre, el semen, los fluidos vaginales y la leche materna"
¿Cuál es el riesgo de transmitir el VIH mediante besos o besos intensos?,Los besos en la boca no entrañan ningún riesgo para la transmisión del VIH. No hay ninguna prueba que sugiera que el virus se pueda transmitir por medio de la saliva al besar
¿Cuál es el riesgo de transmitir el VIH por medio de un piercing o un tatuaje?,Sí existe un riesgo de transmisión del VIH si los instrumentos contaminados no se esterilizan o se comparten con otros. Los instrumentos pensados para penetrar en la piel deberían utilizarse una vez y después ser desechados o limpiados a fondo y esterilizados.
¿Cuál es el riesgo de transmitir el VIH compartiendo maquinillas de afeitar con una persona infectada?,"Cualquier tipo de corte que se realice con un objeto sin esterilizar, como es una maquinilla o un cuchillo, puede transmitir el VIH. Compartir maquinillas no es aconsejable a menos que se esterilicen completamente después de cada uso. "
¿Es seguro mantener relaciones sexuales con una persona que vive con el VIH?,Tener sexo con una persona que vive con el VIH es seguro si el virus está totalmente suprimido por el tratamiento. El sexo también es seguro si el preservativo se utiliza adecuadamente o si estás siguiendo un tratamiento de profilaxis preexposición de acuerdo con las recomendaciones de tu proveedor de atención sanitaria
¿Es seguro para dos personas que viven con el VIH mantener relaciones sexuales sin protección únicamente entre ellas?,Lo mejor para una persona que vive con el VIH es evitar infectarse con una cepa distinta del virus. 
¿Qué efectividad tienen los preservativos para evitar el VIH?,"os preservativos cuya calidad está asegurada son los únicos productos actualmente disponibles para proteger de las infecciones sexuales por el VIH y de otras infecciones de transmisión sexual. Cuando se usan de forma adecuada, los preservativos resultan un medio probado y efectivo para prevenir la infección por el VIH entre mujeres y hombres.

Para conseguir el efecto protector de los preservativos, deben utilizarse correcta y consistentemente. Su uso incorrecto puede conducir al deslizamiento o la rotura del preservativo y, por tanto, disminuye su efecto protector."
¿Hay cura para el VIH?,"No existe una cura para el VIH. Sin embargo, hay un tratamiento efectivo el cual, si se empieza de manera inmediata y se toma regularmente, hace que la persona que vive con el VIH tenga una vida de calidad y una esperanza de vida similar a la esperada en el caso de las personas que no han contraído el virus. "
¿Qué tratamiento hay disponible?,"Para tratar la infección por el VIH, se utilizan medicinas antirretrovirales. Funcionan contra la infección por el VIH bloqueando la reproducción de VIH en el cuerpo"
¿Qué es una prueba del VIH?,"Una prueba del VIH es una prueba que revela si una persona ha sido infectada por el VIH. Las pruebas del VIH más utilizadas detectan los anticuerpos producidos por el sistema inmunitario en respuesta al VIH, puesto que son mucho más fáciles (y más baratos) de detectar que el propio virus. Los anticuerpos son producidos por el sistema inmunitario en respuesta a una infección.

La mayoría de las personas tarda un mes en desarrollar estos anticuerpos. Los anticuerpos se pueden hallar en la sangre o en fluidos orales."
¿Por qué debería realizarme una prueba del VIH?,"Conocer tu estado serológico tiene dos beneficios vitales. En primer lugar, si estás infectado por el VIH, puedes empezar el tratamiento enseguida, por lo que potencialmente puedes alargar tu vida muchos años (véase la pregunta 36). En segundo lugar, si sabes que estás infectado, puedes adoptar todas las precauciones necesarias para evitar contagiar el VIH a otras personas"
 ¿Qué hago si he contraído el VIH?,"Gracias a los nuevos tratamientos, las personas que viven con el VIH ahora pueden disfrutar de vidas largas y sanas. Es muy importante que te asegures de que tu médico sabe cómo tratar el VIH. Un profesional de la atención sanitaria o un asesor formado en materia de VIH pueden aconsejarte y ayudarte a buscar el médico adecuado. "
¿Qué significa si doy negativo en la prueba del VIH?,"Un resultado negativo significa que no se encontraron anticuerpos para el VIH en tu sangre en el momento de realizar la prueba. Si tu resultado es negativo, asegúrate de que lo siga siendo aprendiendo hechos sobre la transmisión del VIH y evitando comportamientos de riesgo.  

Sin embargo, aún hay una posibilidad de estar infectado por el virus, puesto que tu sistema inmunitario necesita hasta tres meses para producir los anticuerpos suficientes como para reflejar una infección en el análisis de sangre. Se aconseja repetir la prueba más adelante y, en ese intervalo de tiempo, adoptar las medidas necesarias para evitar cualquier posible transmisión. Durante el periodo silente, la persona es muy contagiosa, por lo que deberían tomarse medidas para evitar toda posible transmisión. "
¿Las picaduras de mosquito suponen un riesgo para contraer el VIH?,"El VIH no se transmite por picaduras de mosquitos ni de otros insectos. Incluso si el virus entra en un mosquito o en otro insecto que chupe o pique, no se puede reproducir en el insecto. Puesto que el insecto no puede ser infectado por el VIH, tampoco puede transmitirlo al siguiente humano del que se alimente o al que pique."
¿Debería preocuparme por si me contagio mientras practico deporte?,No hay ninguna prueba que indique el VIH pueda transmitirse por la práctica deportiva.
"¿Puedo contraer el VIH por medio de un contacto casual (al dar un apretón de manos o un abrazo, utilizar el mismo baño, beber del mismo vaso que una persona que vive con el VIH o estar cerca de una persona infectada que estornuda o tose)?","El VIH no se transmite por el contacto diario en ambientes sociales, en los colegios y en el lugar de trabajo. No puedes contraer el virus por estrechar las manos o abrazar a alguien, utilizar el mismo baño o beber del mismo vaso que una persona que vive con el VIH"
¿El VIH afecta solo a homosexuales y usuarios de drogas?,"No. Cualquier persona que mantenga relaciones sexuales sin protección, comparta equipos de inyección o reciba una transfusión se sangre contaminada puede infectarse por el VIH. Los bebés también pueden contagiarse del VIH a través de sus madres durante el embarazo, el trabajo de parto, después del alumbramiento o a lo largo de la lactancia. "
¿Puedo tener más de una enfermedad de transmisión sexual a la vez?,"Sí, puedes tener más de una enfermedad de transmisión sexual al mismo tiempo. Cada infección precisa su propio tratamiento. No te puedes volver inmune a las infecciones de transmisión sexual. Puedes contraer la misma infección una y otra vez. Muchos hombres y mujeres no presentan síntomas tempranos la primera que se contagian de una infección de transmisión sexual. Sin embargo, pueden transmitir la infección a su pareja sexual. "
"Cuando estás siguiendo un tratamiento antirretroviral, ¿puedes transmitir el VIH a otros?","Si el tratamiento antirretroviral es efectivo y el virus está totalmente suprimido, no puedes transmitir el VIH a otros. Por este motivo, se recomienda controlar la supresión de la carga viral como parte del cuidado continuo para las personas que viven con el VIH."
